rank,species_common_name,species_scientific_name,species_slug,default_low_hz,default_high_hz,band_source,review_status,notes
38,Weebill,Smicrornis brevirostris,weebill,2500,10000,heuristic_small_passerine_high_band,initial,Initial v2 default; tighten per sample during spectrogram review.
39,Pied Honeyeater,Certhionyx variegatus,pied_honeyeater,1500,9000,heuristic_honeyeater_high_mid_band,initial,Initial v2 default; tighten per sample during spectrogram review.
40,Wood Sandpiper,Tringa glareola,wood_sandpiper,700,6500,heuristic_nonpasserine_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
41,Yellow-rumped Thornbill,Acanthiza chrysorrhoa,yellow_rumped_thornbill,2500,10000,heuristic_small_passerine_high_band,initial,Initial v2 default; tighten per sample during spectrogram review.
42,Australian Ringneck,Barnardius zonarius,australian_ringneck,800,7000,heuristic_parrot_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
43,Crimson Chat,Epthianura tricolor,crimson_chat,1000,8000,heuristic_general_bird_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
44,White-winged Fairywren,Malurus leucopterus,white_winged_fairywren,2500,10000,heuristic_small_passerine_high_band,initial,Initial v2 default; tighten per sample during spectrogram review.
45,Black-eared Cuckoo,Chrysococcyx osculans,black_eared_cuckoo,1200,7000,heuristic_song_or_whistle_band,initial,Initial v2 default; tighten per sample during spectrogram review.
46,Red-backed Fairywren,Malurus melanocephalus,red_backed_fairywren,2500,10000,heuristic_small_passerine_high_band,initial,Initial v2 default; tighten per sample during spectrogram review.
47,White-breasted Woodswallow,Artamus leucorynchus,white_breasted_woodswallow,1200,8000,heuristic_woodswallow_band,initial,Initial v2 default; tighten per sample during spectrogram review.
48,Singing Honeyeater,Gavicalis virescens,singing_honeyeater,1500,9000,heuristic_honeyeater_high_mid_band,initial,Initial v2 default; tighten per sample during spectrogram review.
49,Brown Falcon,Falco berigora,brown_falcon,700,6500,heuristic_nonpasserine_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
50,Yellow-throated Miner,Manorina flavigula,yellow_throated_miner,1500,9000,heuristic_honeyeater_high_mid_band,initial,Initial v2 default; tighten per sample during spectrogram review.
51,Red-browed Firetail,Neochmia temporalis,red_browed_firetail,2500,10000,heuristic_small_passerine_high_band,initial,Initial v2 default; tighten per sample during spectrogram review.
52,Restless Flycatcher,Myiagra inquieta,restless_flycatcher,1200,7000,heuristic_song_or_whistle_band,initial,Initial v2 default; tighten per sample during spectrogram review.
53,Red-winged Parrot,Aprosmictus erythropterus,red_winged_parrot,800,7000,heuristic_parrot_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
54,Chestnut-crowned Babbler,Pomatostomus ruficeps,chestnut_crowned_babbler,1000,8000,heuristic_general_bird_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
55,Osprey,Pandion haliaetus,osprey,700,6500,heuristic_nonpasserine_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
56,Red-browed Pardalote,Pardalotus rubricatus,red_browed_pardalote,2500,10000,heuristic_small_passerine_high_band,initial,Initial v2 default; tighten per sample during spectrogram review.
57,Banded Lapwing,Vanellus tricolor,banded_lapwing,700,6500,heuristic_nonpasserine_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
58,Spotted Dove,Streptopelia chinensis,spotted_dove,700,6500,heuristic_nonpasserine_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
59,Eastern Spinebill,Acanthorhynchus tenuirostris,eastern_spinebill,1500,9000,heuristic_honeyeater_high_mid_band,initial,Initial v2 default; tighten per sample during spectrogram review.
60,Gilbert's Whistler,Pachycephala inornata,gilberts_whistler,1200,7000,heuristic_song_or_whistle_band,initial,Initial v2 default; tighten per sample during spectrogram review.
61,Gray Fantail,Rhipidura albiscapa,gray_fantail,2500,10000,heuristic_small_passerine_high_band,initial,Initial v2 default; tighten per sample during spectrogram review.
62,Pacific Swift,Apus pacificus,pacific_swift,1000,8000,heuristic_general_bird_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
63,Southern Scrub-Robin,Drymodes brunneopygia,southern_scrub_robin,1000,8000,heuristic_general_bird_call_band,initial,Initial v2 default; tighten per sample during spectrogram review.
