rank,species_common_name,species_scientific_name,species_slug,default_low_hz,default_high_hz,band_source,review_status,notes
12,Chestnut-rumped Thornbill,Acanthiza uropygialis,chestnut_rumped_thornbill,3000,9000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
13,Cockatiel,Nymphicus hollandicus,cockatiel,1500,3000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
14,Common Bronzewing,Phaps chalcoptera,common_bronzewing,100,500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
15,Common Greenshank,Tringa nebularia,common_greenshank,2000,3000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
16,Common Sandpiper,Actitis hypoleucos,common_sandpiper,4000,5000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
17,Crested Bellbird,Oreoica gutturalis,crested_bellbird,500,2500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
18,Crimson Chat,Epthianura tricolor,crimson_chat,2500,4500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
19,Eastern Spinebill,Acanthorhynchus tenuirostris,eastern_spinebill,3000,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
20,Eurasian Coot,Fulica atra,eurasian_coot,1000,2000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
21,Gilbert's Whistler,Pachycephala inornata,gilberts_whistler,1500,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
22,Gray Butcherbird,Cracticus torquatus,gray_butcherbird,1500,3000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
23,Gray Fantail,Rhipidura albiscapa,gray_fantail,4500,7500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
24,Gray Shrikethrush,Colluricincla harmonica,gray_shrikethrush,1000,2500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
25,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,horsfields_bronze_cuckoo,2000,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
26,Inland Thornbill,Acanthiza apicalis,inland_thornbill,3000,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
27,Masked Woodswallow,Artamus personatus,masked_woodswallow,1500,5500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
28,Mulga Parrot,Psephotus varius,mulga_parrot,2500,6000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
29,Osprey,Pandion haliaetus,osprey,2000,3500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
30,Pacific Swift,Apus pacificus,pacific_swift,3500,5500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
31,Pallid Cuckoo,Cacomantis pallidus,pallid_cuckoo,2000,2500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
32,Pied Honeyeater,Certhionyx variegatus,pied_honeyeater,3500,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
33,Pink Cockatoo,Lophochroa leadbeateri,pink_cockatoo,1500,2500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
34,Purple-backed Fairywren,Malurus assimilis,purple_backed_fairywren,4000,7000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
35,Red-backed Fairywren,Malurus melanocephalus,red_backed_fairywren,4000,7000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
36,Red-browed Firetail,Neochmia temporalis,red_browed_firetail,6000,8000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
37,Red-browed Pardalote,Pardalotus rubricatus,red_browed_pardalote,1800,2200,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
38,Red-capped Robin,Petroica goodenovii,red_capped_robin,2500,4500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
39,Red-winged Parrot,Aprosmictus erythropterus,red_winged_parrot,2500,6500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
40,Restless Flycatcher,Myiagra inquieta,restless_flycatcher,2000,3500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
41,Rufous Songlark,Cincloramphus mathewsi,rufous_songlark,2000,7000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
42,Scarlet Myzomela,Myzomela sanguinolenta,scarlet_myzomela,4500,8000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
43,Singing Honeyeater,Gavicalis virescens,singing_honeyeater,1500,2500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
44,Southern Scrub-Robin,Drymodes brunneopygia,southern_scrub_robin,3500,4500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
45,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,spiny_cheeked_honeyeater,1500,2000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
46,Splendid Fairywren,Malurus splendens,splendid_fairywren,3500,7500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
47,Spotted Dove,Streptopelia chinensis,spotted_dove,500,1000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
48,Spotted Nightjar,Eurostopodus argus,spotted_nightjar,500,1000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
49,Spotted Quail-thrush,Cinclosoma punctatum,spotted_quail_thrush,2000,3000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
50,Superb Fairywren,Malurus cyaneus,superb_fairywren,3000,9000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
51,Tawny Frogmouth,Podargus strigoides,tawny_frogmouth,3500,4500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
52,Weebill,Smicrornis brevirostris,weebill,2800,4500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
53,Whimbrel,Numenius phaeopus,whimbrel,2000,3000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
54,White-breasted Woodswallow,Artamus leucorynchus,white_breasted_woodswallow,2500,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
55,White-browed Woodswallow,Artamus superciliosus,white_browed_woodswallow,1600,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
56,White-throated Nightjar,Eurostopodus mystacalis,white_throated_nightjar,3500,4500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
57,White-winged Fairywren,Malurus leucopterus,white_winged_fairywren,3000,7000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
58,White-winged Triller,Lalage tricolor,white_winged_triller,2000,5000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
59,Willie Wagtail,Rhipidura leucophrys,willie_wagtail,2500,5500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
60,Wood Sandpiper,Tringa glareola,wood_sandpiper,3000,4500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
61,Yellow-rumped Thornbill,Acanthiza chrysorrhoa,yellow_rumped_thornbill,4000,7000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
62,Yellow-throated Miner,Manorina flavigula,yellow_throated_miner,2000,4000,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
63,Zebra Finch,Taeniopygia guttata,zebra_finch,2500,5500,human_audit_final_v1,reviewed,Final reviewer range from resources/site_257_bowra-dry-a/layer_c_retrieval_event_library_v2/bandpass_auto_recommendations_v2/species_bandpass_auto_recommendations_v2.csv; low=0 values normalized to 100 Hz.
